id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
45,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 124, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
46,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 125 √ 128., ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
47,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 129, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
48,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 130, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
49,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 131 √ 165., гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
50,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 166., ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
51,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 167., гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
52,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 168 √ 178., гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
53,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 179., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
54,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 180, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
55,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 181, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
56,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 182, гю, опнрх, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, опнрх,п╡ьеммъ опхимърн
57,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 183, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ опхимърн
58,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 184, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
59,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 185, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
60,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 186 √ 188., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
61,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 189., ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
62,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 190., ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
63,гЕЛЕКЭМЁ ОХРЮММЪ. гЮ ПНГЦКЪД ДНДЮРЙНБХУ ОХРЮМЭ., гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
64,"оПН БМЕЯЕММЪ ГЛЁМ ДН ДНЦНБНПС НПЕМДХ ГЕЛКЁ ОКНЫЕЧ 3084 ЙБ. Л., СЙКЮДЕМНЛС ЛЁФ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЧ ЛЁЯЭЙНЧ ПЮДНЧ РЮ рГнб └рЮМДЕЛ оНДЁККЪ■ ГЮ ЮДПЕЯНЧ ОПНЯОЕЙР цПСЬЕБЯЭЙНЦН (МЮБОПНРХ орс ╧ 6).", гю, опнрх, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, гю, гю, гю, гю, гю, опнрх, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, опнрх,п╡ьеммъ ме опхимърн
65,"оПН БМЕЯЕММЪ ГЛЁМ ДН ДНЦНБНПС НПЕМДХ ГЕЛКЁ ОКНЫЕЧ 3084 ЙБ. Л., СЙКЮДЕМНЛС ЛЁФ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЧ ЛЁЯЭЙНЧ ПЮДНЧ РЮ рГнб └рЮМДЕЛ оНДЁККЪ■ ГЮ ЮДПЕЯНЧ ОПНЯОЕЙР цПСЬЕБЯЭЙНЦН (МЮБОПНРХ орс ╧ 6).", гю, опнрх, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, гю, гю, гю, гю, гю, опнрх, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, опнрх,п╡ьеммъ ме опхимърн
66,"оПН ГЮРБЕПДФЕММЪ РЕУМЁВМХУ ДНЙСЛЕМРЮЖЁИ ЁГ ГЕЛКЕСЯРПНЧ ЫНДН ОНДЁКС РЮ НА▓╨ДМЮММЪ ГЕЛЕКЭМХУ ДЁКЪМНЙ ГЮ ЮДПЕЯНЧ БСКХЖЪ фСЙНБЮ, 37.", гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
67,оПН ГЮРБЕПДФЕММЪ ГБЁРС ╚оПН БХЙНМЮММЪ АЧДФЕРС ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН ГЮ ╡ ОЁБПЁВВЪ 2016 ПНЙС╩., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ,п╡ьеммъ опхимърн
68,"оПН МЮДЮММЪ ГЦНДХ МЮ ОПХИМЪРРЪ Г ДЕПФЮБМН© БКЮЯМНЯРЁ Б ЙНЛСМЮКЭМС БКЮЯМЁЯРЭ ЛЁЯРЮ МЕФХРКНБХУ АСДЁБЕКЭ ГЮ ЮДПЕЯНЧ ОК. оНКЭЯЭЙХИ ПХМНЙ, 14-16.", гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
69,оПХИМЪРРЪ Б ЙНЛСМЮКЭМС БКЮЯМЁЯРЭ ЛЁЯРЮ МЕФХРКНБХУ АСДЁБЕКЭ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
70,"оПН ГБЕПМЕММЪ ЫНДН ЯЙЮЯСБЮММЪ оНЯРЮМНБХ мЮЖЁНМЮКЭМН© ЙНЛЁЯЁ©, ЫН ГДЁИЯМЧ╨ ДЕПФЮБМЕ ПЕЦСКЧБЮММЪ С ЯТЕПЮУ ЕМЕПЦЕРХЙХ РЮ ЙНЛСМЮКЭМХУ ОНЯКСЦ БЁД 22.07.2016 ╧ 1309).", гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
71,оПН ГЮРБЕПДФЕММЪ оНПЪДЙС МЮДЮММЪ ОНБНПНРМН© ТЁМЮМЯНБН© ДНОНЛНЦХ ЙНЛСМЮКЭМНЛС ОЁДОПХ╨ЛЯРБС ╚лЁЯЭЙРЕОКНБНДЕМЕПЦЁЪ╩., гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, српхлюбяъ,п╡ьеммъ опхимърн
72,оПН БЯРЮМНБКЕММЪ ЛНПЮРНПЁЧ (ГЮАНПНМХ) МЮ ББЕДЕММЪ Г 01 ЯЕПОМЪ 2016 ПНЙС Б ДЁЧ ОЁДБХЫЕММЪ ЖЁМ Ё РЮПХТЁБ ДКЪ МЮЯЕКЕММЪ МЮ ФХРКНБН-ЙНЛСМЮКЭМЁ ОНЯКСЦХ Б ЛЁЯРЁ йЮЛ'ЪМЕЖЭ-оНДЁКЭЯЭЙНЛС., српхлюбяъ, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
73,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 6 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 26.01.2016 ╧═2/6 ╚оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН ОПХЯБН╨ММЪ ГБЮММЪ ╚оНВЕЯМХИ ЦПНЛЮДЪМХМ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩ Б МНБЁИ ПЕДЮЙЖЁ©., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ опхимърн
74,"оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 4 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 29/4 ╚оПН ЛЁЯЭЙХИ АЧДФЕР МЮ 2016 ПЁЙ╩ РЮ ДНДЮРЙЁБ ДН МЭНЦН, Г БПЮУСБЮММЪЛ ГЛЁМ РЮ ДНОНБМЕМЭ, БМЕЯЕМХУ ПЁЬЕММЪЛ 5 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 13.01.2016 ╧ 2/5, ПЁЬЕММЪЛ 6 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 26.01.2016 ╧ 112/6, ПЁЬЕММЪЛ 7 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 09.02.2016 ╧ 1/7, ПЁЬЕММЪЛ 8 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.02.2016 ╧ 4/8, ПЁЬЕММЪЛ 9 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.02.2016 ╧ 1/9, ПЁЬЕММЪЛ 10 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.03.2016 ╧ 328/10, ПЁЬЕММЪЛ 12 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 28.04.2016 ╧ 4/12, ПЁЬЕММЪЛ 13 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 31.05.2016 ╧ 19/13, ПЁЬЕММЪЛ 14 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 05.07.2016 ╧ 182/14, ПЁЬЕММЪЛ 15 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 12.07.2016 ╧ 16/15.", гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
75,"оПН ГБЕПМЕММЪ ДН оПЕГХДЕМРЮ сЙПЮ©МХ, оПЕЛ▓╨П-ЛЁМЁЯРПЮ сЙПЮ©МХ, цНКНБХ бЕПУНБМН© пЮДХ сЙПЮ©МХ", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
76,пЁГМЕ. дНПСВЕММЪ ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
