id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
27,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 14-17, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
28,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 18, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
29,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 19, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
30,"гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 20, 21", гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю,п╡ьеммъ опхимърн
31,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 22, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
32,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 23, српхлюбяъ, гю, српхлюбяъ, опнрх, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
33,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 24-27, српхлюбяъ, гю, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
34,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 28, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
35,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 29, гю, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ,п╡ьеммъ ме опхимърн
36,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 30., српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
37,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 31, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
38,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 32, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
39,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 33, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, опнрх, опнрх, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх,п╡ьеммъ ме опхимърн
40,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 34, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
41,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 35, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, опнрх, опнрх, српхлюбяъ, ме цнкнясбюб, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
42,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧  36, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
43,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 37, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю,п╡ьеммъ опхимърн
44,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 38, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
45,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 39, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
46,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 40, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
47,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 41, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
48,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 42, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
49,гЕЛЕКЭМЁ ОХРЮММЪ.   оНБЕПМЕММЪ ДН ПНГЦКЪДС ╧ 42., српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю,п╡ьеммъ опхимърн
50,гЕЛЕКЭМЁ ОХРЮММЪ.    оХРЮММЪ ╧ 42-46 ГМЪРХ МЮ ДН БХБВЕММЪ., гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
51,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 47., српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
52,"гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 48, 49", гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
53,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 50, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
54,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 51, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
55,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 52, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю,п╡ьеммъ опхимърн
56,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 53-55, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
57,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 56, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
58,гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 57-59., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
59,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 60, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
60,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 61, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю,п╡ьеммъ опхимърн
61,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 62, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю,п╡ьеммъ опхимърн
62,"гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 63, 64", ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
63,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 65, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
64,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 66, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
65,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 67-69, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
66,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 70 √ ГМЪРХ Г ПНГЦКЪДС, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ ме опхимърн
67,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 70, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
68,"гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 71, 72", гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
69,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 73, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб,п╡ьеммъ опхимърн
70,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 74-76, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
71,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 77, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
72,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 78-82, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
73,гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 83-85, гю, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
74,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 86, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
75,гЕЛЕКЭМЁ ОХРЮММЪ.  1 оНБЕПМЕММЪ ДН ПНГЦКЪДС ОХРЮМЭ ╧ 83-85., српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, гю, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
76,гЕЛЕКЭМЁ ОХРЮММЪ.   2 оНБЕПМЕММЪ ДН ПНГЦКЪДС ОХРЮМЭ ╧ 83-85., српхлюбяъ, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, гю, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
77,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 87, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
78,"гЕЛЕКЭМЁ ОХРЮММЪ.    ╧ 88, 89", српхлюбяъ, опнрх, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, опнрх, опнрх, српхлюбяъ, српхлюбяъ, опнрх, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх,п╡ьеммъ ме опхимърн
79,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 90, српхлюбяъ, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю,п╡ьеммъ ме опхимърн
80,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 91, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
81,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 92-107, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
82,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 108, српхлюбяъ, српхлюбяъ, гю, опнрх, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
