id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
34,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка (між провулками Степовий та Крайній) Кричковському Д.А., НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
35,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Польський ринок (Південний квартал VII) Заяць Т.Є., ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
36,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Онуфріївська, 5 Шендеруку М.М.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
37,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Плотніцькій  Л.С., НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
38,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Плотніцькій  Л.С., ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
39,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Плотніцькій  Л.С., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
40,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Плотніцькій  Л.С., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
41,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Плотніцькій  Л.С., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
42,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Плотніцькій  Л.С., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
43,"Блок питань: 47-51
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова, 2, корпус 6, гараж 8 Бурбенко Т.Д.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою м. Кам’янець-Подільський, ГБК № 2, гараж 203 Терлецькій В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою ГК № 4, гараж 204 Лесику  Т.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 2, гараж 235 Форманчуку А.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова, 8, гараж № 24 Заїці В.П.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
44,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Березовському Л.А.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
45,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинковолодіння № 10) Гуменюк М.В., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
46,"Блок питань: 54-55
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри (в дворі будинку № 30А) Бєлєвич О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри (в дворі будинку № 30А) Бєлєвичу О.В.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
47,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди, бокс 18 Ковальчук Г.І.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
48,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди, бокс № 30 Терлецькому  Ю.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди, бокс № 32 Гринчуку Д.Г.", ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
49,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Драй-Хмари (в дворі будинку № 3) Батушанському А.С., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
50,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Першотравнева, 4 Білоусу О.В.", ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
51,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова (навпроти будинку № 9) Фурман Д.Г., ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
52,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (навпроти будинку № 3) Савінському В.Ю., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
53,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (навпроти будинку № 3) Петасюку Д.О., НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
54,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (навпроти будинку № 3) Петасюку Д.О., УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
55,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (біля будинку № 101) Бориславському В.М., УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
56,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського (в дворі будинку № 37) Добровольському В.Т., ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
57,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова (біля будинку № 45) Шевцову О.Б., УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
58,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 63а/1 Ляшковському В.О.", УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
59,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Драй-Хмари (в дворі будинку № 5”б”) Грубляку В.В., ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
60,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Рудніцькій С.Л., УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
61,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе (навпроти будинку № 1 по вулиці Молодіжній) Климу С.Й., УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
62,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна, 104 Горбунову П.П.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
