id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
42,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки в межах вулиць: Драй-Хмари, Гагаріна, Огієнка та території Кам’янець-Подільського ліцею з посиленою військовою підготовкою Приватному підприємству “Капітал-Буд сучасне будівництво”.", ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
43,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки в межах вулиць: Драй-Хмари, Гагаріна, Огієнка та території Кам’янець-Подільського ліцею з посиленою військовою підготовкою Приватному підприємству “Капітал-Буд сучасне будівництво”.", ПРОТИ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
44,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки Департаменту житлово-комунального господарства Кам'янець-Подільської міської ради., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
45,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою: квартал обмежений вулицями: Пушкінська, Привокзальна, Героїв Небесної Сотні та проспектом Грушевського Кам’янець-Подільській міській раді.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
46,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Гільовському О.В., ЗА, ПРОТИ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
47,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 29 Бевз А.О.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
48,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе,  32 Бурку О.М.", ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
49,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського,  38а Ткаченко Л.Я.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
50,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Свідницького, 2а Григор’євій І.М.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Оринінське шосе, 7 Бойку О.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нагірна, 2 Жураковській Л.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Павла Стрельчука,  19 Боднарчуку В.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Павла Стрельчука,  19”а” Дубровській В.Ф.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки,  91”а”/1 Кіценькій М.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки,  91”а”/2 Козловській Г.С.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
51,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна Харук  Є.М., НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
52,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гунська, 16/2 Кацай  С.В.", УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
53,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна Гончаруку П.М., НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
54,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна Гончаренку О.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна Арнауту  І.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна (навпроти будинку № 31) Савіну  М.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе Муравйову О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Матросова Хом’юку  Т.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Мічуріна (біля будинку № 15 по вулиці Нігинське шосе) Кашпірському О.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Мічуріна (біля будинку № 15 по вулиці Нігинське шосе) Кашпірській С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки Марченку В.П.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
55,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Данила Галицького, 3а, гараж бокс № 1 Жезіцькому Й.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів,  25 Брижатому Є.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2а, ГБК № 7, гараж № 142 Блажку І.О.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
56,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (в дворі будинку № 2) Голованчук М.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (в дворі будинку № 2) Криворчуку І.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (в дворі будинку № 2) Мазур О.О.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
57,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (в дворі будинку № 2) Старченко С.В., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
58,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів,  4 Косику Г.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів,  4 Терещенко О.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 4 Квашак Л.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 4 Колупай А.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 4 Хитрук Т.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів,  4 Крайнюку М.М.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
59,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (стара назва вулиця Жукова) Муравйову О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гагенмейстера Геренчуку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні (в дворі будинку № 9) Яременку О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні (біля будинку № 6) Кучеренку С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Яремчуку В.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Присяжнюку В.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди, бокс № 23 Фурманчуку  В.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира Коробчук В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна (в дворі будинку № 106) Заболотному П.Ф.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вокзальна, 9 Баранцову О.І.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
60,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні (в дворі будинку № 44) Агафоновій Л.В., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
61,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 11) Люзняк О.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Розвадовського (біля залізничної колії) Дихничу  П.В.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
62,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Розвадовського (навпроти будинку № 17) Козловському М.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Розвадовського (біля будинків № 13 та № 17) Матвєєву М.А.", ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА,РІШЕННЯ ПРИЙНЯТО
63,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука Литваку С.В., УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
64,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (поряд з будинком № 19, навпроти будинку № 6 по вулиці 30 років Перемоги) Мотрюк Н.М.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
65,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою між вулицею Ценського, 3 і вулицею Ценського, 1 Кумашяну А.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою між вулицею Ценського, 3 і вулицею Ценського, 1 Невенгловській Т.М.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
66,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 91а) Козловській Г.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 91а) Кіценькій М.П.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
