id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Костинюк Володимир Володимирович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
40,"Блок питань: 13-15
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка, гараж 35/67 Вакарчуку О.В.
Дозвіл на розроблення проекту землеустрою за адресою провулок Північний, 3, ГБК № 2, гараж 62 Колодій Е.М.
Дозвіл на розроблення проекту землеустрою за адресою ГБК № 4, гараж 23 Алексєєву А.О.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
41,"Блок питань: 16-20
Дозвіл на розроблення проекту землеустрою за адресою вулиця Голосківське шосе, 8а, ГБК № 4, Сисі С.В.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Максимчука, 3, ГБК № 3, Шаламовичу І.М.
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Буратинській О.М.
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Яковишину О.І.
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Нів’євській О.А",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
42,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри (в дворі будинку № 30А) Бєлєвич О.В.,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
43,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 1) Кондратенку О.А,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
44,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Саксаганського (навпроти будинку № 22) Стоцькій О.В.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
45,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою Торгова площа Гаврилюк О.О.,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
46,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова (біля житлового будинку № 43) Сікорі О.О.,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
47,"Блок питань: 26-32
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Добровольському  В.Т.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Данила Галицького,  22 Решетнік І.І.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Івана Франка Гуменюк М.В.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Лесі Українки, 67А Шалашовій І.В.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Григорія Сковороди, бокс 29 Сластьоновій А.В.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Миколи Гордійчука Рудніцькій С.Л.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Чехова (біля будинку № 45) Шевцову О.Б.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
48,Блок питань: 26-32,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
49,"Блок питань: 33-39
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка Гусці В.М.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка Бабієнку О.А.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка Вишару С.В.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка Григор’єву А.С.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка Морозу О.В.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка Корнійчуку Р.О.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Маршала Харченка Сиркизюку Ю.В.",ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
50,"Блок питань: 40-41
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського, 52 Горецькому В.В.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Миколи Гордійчука,  5 Яцемирському І.М.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
51,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського Репінецькому А.О.,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
52,"Блок питань: 43-45
Дозвіл на розроблення проекту землеустрою за адресою вулиця Нігинське шосе Ситнику А.І.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Нігинське шосе Кухару С.С.
Дозвіл на розроблення проекту землеустрою за адресою вулиця Миколи Гордійчука Кухару С.С.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
53,"Блок питань: 46-47
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Русому В.Г.
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Павлову І.М.",ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,А,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
54,"Блок питань: 48-53
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Індустріальна, 3 Лубку В.О., Співак А.В.
Дозвіл на розроблення технічної документації із землеустрою за адресою вул. Індустріальна,3 БВ ТЗОВ “РОКОР”, Співак А.В.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Індустріальна, 3д БВ ТЗОВ “РОКОР”
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Ценського, 1/2 «в» Кушніру Ю.М.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Ценського, 1/2 «г» Кушнір А.М.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Устима Кармалюка, 1 Гучеку М.М.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
55,"Блок питань: 54-63
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Маршала Харченка Вакарчуку О.В.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Гунська, 8 Мамічевій С.В.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Північна, 29 Пенхоржевській Л.І.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Панфілова, 17
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Суворова, 59 Лукавенко С.О., Ковальчук Н.І.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Середня, 3 Лягуші А.М.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Середня, 3”а” Костецькому І.Й.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Середня, 3”б” Лавренчук Е.П.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Лесі Українки, 31в Глумаковій В.В.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Лесі Українки, 91«а»/2 Козловській Г.С.
",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ ПРИЙНЯТО
56,"Блок питань: 64-65
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Вокзальна, 69а Матвєєву М.О.
Дозвіл на розроблення технічної документації із землеустрою за адресою вулиця Вокзальна, 69а Матвєєву О.М.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
57,"Блок питань: 66-67
Затвердження проекту землеустрою за адресою вулиця Лесі Українки, 39в та передачу її КП “УК “Житловик”
Затвердження проекту землеустрою за адресою вулиця Пушкінська, 26А та передачу її ПП “КАПІТАЛ-БУД СУЧАСНЕ БУДІВНИЦТВО”",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
58,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31”в” та передачу її в оренду Співак А.В.",ЗА,ПРОТИ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ПРОТИ,ЗА,ЗА,ЗА,ЗА,ПРОТИ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ПРОТИ,РІШЕННЯ ПРИЙНЯТО
59," Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 72”а” та передачу її у власність Суворову І.Ю.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
60,"Блок питань: 70-73
Затвердження проекту землеустрою за адресою вулиця Саксаганського для зміни її цільового призначення
Затвердження проекту землеустрою за адресою вулиця Лесі Українки, 91«а»/1 та передачу її у власність Кіценькій М.П.
Затвердження проекту землеустрою за адресою провулок Павла Стрельчука, 19«а» та передачу її Дубровській В.Ф.
Затвердження проекту землеустрою за адресою вулиця Свідницького, 2а та передачу її Григор’євій І.М.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
61,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Круглий, 8 та передачу її у власність Олійник О.С.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
62,"Блок питань: 75-76
Затвердження проекту землеустрою за адресою вулиця Нігинське шосе (біля буд. № 51) та передачу її Коваль В.С.
Затвердження проекту землеустрою за адресою вулиця Нігинське шосе (біля буд. № 51) та передачу її Рудковській Х.О.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
63,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська (за будинком № 24) та передачу її у власність Полянському А.В.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
64,"Блок питань: 78-80
Затвердження проекту землеустрою за адресою вулиця Смірнова, 8, гараж № 24 та передачу її Заїці В.П.
Затвердження проекту землеустрою за адресою вулиця Князя Володимира (в дворі будинку № 2) та передачу її Мазур О.О.
Затвердження проекту землеустрою за адресою вулиця Князів Коріатовичів, 4 та передачу її Крайнюку М.М.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
65,Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова (навпроти будинку № 9) та передачу її у власність Фурман Д.І.,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
66,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Першотравнева, 4 та передачу її у власність Білоусу О.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 58 та передачу її у власність Федорчуку А.І.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Богуна, 28 та передачу її у власність Бобровському А.М.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Огієнка, 75 та передачу її у власність Жарюк І.В., Жарюк К.О., Алексійчук Н.П., Гуназі О.М.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Зіньковецька, 32 та передачу її у власність Павловій Л.В.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 33 та передачу її у власність Райтаровській Т.І.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Кренкеля, 1а та передачу її у власність Ковальчук Р.А.
Про затвердження технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Руслана Коношенка та передачу її у власність Павлюку Р.І.
Про надання згоди на поділ земельної ділянки за адресою вулиця Кузнечна, 4/2, 4/3
Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Руденком А.М. за адресою вулиця Першотравнева, 4а
Про передачу в оренду земельної ділянки за адресою вулиця Першотравнева, 4«р» Білоусу О.В.
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Кузнець К.М. і Трубчак В.С. за адресою вулиця Пушкінська, 38
Про поновлення дії договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ПП “Віват Агро” за адресою вулиця Чехова, 45
Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та Уляницькою В.А. за адресою вулиця Шевченка, 3 та передачу земельної ділянки їй у власність",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
67,"Про припинення договору оренди землі за адресою вулиця Миколи Гордійчука, 33 (стара назва вулиця Жукова)",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
68,"Про припинення договору оренди землі площею 0,8138 га. за адресою вулиця Крип’якевича, 3 та визнання його таким, що втратив чинність
Про припинення договору оренди землі, укладеного між Кам’янець-Подільською міською радою та ТзОВ ""Озон Інвестмент"" за адресою вулиця Хмельницьке шосе, 32",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
69,"Про припинення договору оренди землі за адресою вулиця Індустріальна, 3",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
