id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
37,"оПН ГЮРБЕПДФЕММЪ ╚йНЛОКЕЙЯМН© ОПНЦПЮЛХ  БГЮ╨ЛНДЁ© БЁИЯЭЙНБН© ВЮЯРХМХ ю2738 РЮ йЮЛ'ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ, ©© БХЙНМЮБВХУ НПЦЮМЁБ ЫНДН ГЮУХЯРС ФХРРЪ, ЛХПС Ё ЯОНЙНЧ СЙПЮ©МЯЭЙХУ ЦПНЛЮДЪМ, РЕПХРНПЁЮКЭМН© ЖЁКЁЯМНЯРЁ, ЯБНАНДХ Ё МЕГЮКЕФМНЯРЁ сЙПЮ©МХ МЮ 2017 ПЁЙ╩.", гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
38,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ БДНЯЙНМЮКЕММЪ ЯХЯРЕЛХ НОНБЁЫЕММЪ ЖХБЁКЭМНЦН ГЮУХЯРС РЮ ЁМТНПЛСБЮММЪ МЮЯЕКЕММЪ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН ГЮ ДНОНЛНЦНЧ ЯЛЯ-ОНБЁДНЛКЕМЭ МЮ 2017-2020 ПНЙХ., гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
39,"оПН ГЮРБЕПДФЕММЪ оНПЪДЙС ГЮКСВЕММЪ, ПНГПЮУСМЙС ПНГЛЁПС Ё БХЙНПХЯРЮММЪ ЙНЬРЁБ ОЮИНБН© СВЮЯРЁ С ЯРБНПЕММЁ Ё ПНГБХРЙС ЁМФЕМЕПМН-РПЮМЯОНПРМН© РЮ ЯНЖЁЮКЭМН© ЁМТПЮЯРПСЙРСПХ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
40,"оПН ГЮРБЕПДФЕММЪ оНПЪДЙС ГЮКСВЕММЪ, ПНГПЮУСМЙС ПНГЛЁПС Ё БХЙНПХЯРЮММЪ ЙНЬРЁБ ОЮИНБН© СВЮЯРЁ С ЯРБНПЕММЁ Ё ПНГБХРЙС ЁМФЕМЕПМН-РПЮМЯОНПРМН© РЮ ЯНЖЁЮКЭМН© ЁМТПЮЯРПСЙРСПХ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН.", гю, опнрх, српхлюбяъ, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, опнрх, опнрх, гю, опнрх, ме цнкнясбюб, гю, гю, опнрх, српхлюбяъ, гю, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, гю, опнрх,п╡ьеммъ ме опхимърн
41,"оПН ГЮРБЕПДФЕММЪ оНПЪДЙС ГЮКСВЕММЪ, ПНГПЮУСМЙС ПНГЛЁПС Ё БХЙНПХЯРЮММЪ ЙНЬРЁБ ОЮИНБН© СВЮЯРЁ С ЯРБНПЕММЁ Ё ПНГБХРЙС ЁМФЕМЕПМН-РПЮМЯОНПРМН© РЮ ЯНЖЁЮКЭМН© ЁМТПЮЯРПСЙРСПХ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН.", српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, опнрх, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, опнрх, гю, гю, српхлюбяъ, гю, гю, гю, опнрх, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю,п╡ьеммъ опхимърн
42,оПН ГЮРБЕПДФЕММЪ МНПЛЮРХБЁБ ДКЪ НДХМХЖЁ ЯРБНПЕМН© ОНРСФМНЯРЁ НА▓╨ЙРС АСДЁБМХЖРБЮ С ЛЁЯРЁ йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
43,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 15═(ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 12.07.2016  ╧═5/15., гю, гю, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
44,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ПНГБХРЙС ТЁГХВМН© ЙСКЭРСПХ Ё ЯОНПРС Б ЛЁЯРЁ МЮ 2017-2021 ПНЙХ., гю, гю, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю,п╡ьеммъ опхимърн
45,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
46,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС. о.1.1, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
47,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.  о. 1.2, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
48,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   о.1.3, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
49,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   о. 1.4., српхлюбяъ, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, опнрх, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
50,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   о. 1.5., гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
51,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   о. 1.6, гю, гю, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
52,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   о.1.7., гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
53,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   о. 2., опнрх, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ ме опхимърн
54,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   оНБЕПМЕММЪ ДН О.2., српхлюбяъ, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
55,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   о. 2., српхлюбяъ, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
56,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
57,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.   - ДНПСВЕММЪ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
58,оПН ПНГЛЁЫЕММЪ РХЛВЮЯНБН БЁКЭМХУ ЙНЬРЁБ ЛЁЯЭЙНЦН АЧДФЕРС МЮ БЙКЮДМХУ (ДЕОНГХРМХУ) ПЮУСМЙЮУ С АЮМЙЮУ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
59,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ ДЕБ▓ЪРМЮДЖЪРН© ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 18.10.2016 ╧ 3/19 ╚оПН ГЮРБЕПДФЕММЪ НОЕПЮРНПЁБ ОЮПЙСБЮММЪ РПЮМЯОНПРМХУ ГЮЯНАЁБ МЮ РЕПХРНПЁ© ЛЁЯРЮ╩., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
60,оПН БМЕЯЕММЪ ГЛЁМ ДН ДНДЮРЙЮ 2 ПЁЬЕММЪ 41 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 16.04.2013 ПНЙС ╧═106 ╚оПН СЙКЮДЮММЪ ДНЦНБНПС ОПН ОНЦЮЬЕММЪ ГЮАНПЦНБЮМНЯРЁ ЙНЛСМЮКЭМНЦН ОЁДОПХ╨ЛЯРБЮ ╚яКСФАЮ ╨ДХМНЦН ГЮЛНБМХЙЮ╩ ОЕПЕД РЕПХРНПЁЮКЭМНЧ ЦПНЛЮДНЧ ЛЁЯРЮ ГЮ БХЙНМЮММЪ ЦЮПЮМРЁИМХУ ГНАНБ▓ЪГЮМЭ╩., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
61,"оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 18.10.2016 ╧ 4/19 ╚оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 73 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 09.12.2014═ ╧ 4/73 ╚оПН БЯРЮМНБКЕММЪ МНПЛЮРХБЁБ ПНГОНДЁКС ВХЯРНЦН ОПХАСРЙС Ё ОНПЪДЙС БЁДПЮУСБЮММЪ ВЮЯРХМХ ВХЯРНЦН ОПХАСРЙС (ДНУНДС) ЙНЛСМЮКЭМХУ СМЁРЮПМХУ ОЁДОПХ╨ЛЯРБ РЮ ©У НА'╨ДМЮМЭ, ЫН БХКСВЮ╨РЭЯЪ ДН АЧДФЕРС ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩.", гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
62,"оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙХИ ЛЁЯЭЙХИ жЕМРП ЯНЖЁЮКЭМХУ ЯКСФА ДКЪ ЯЁЛ▓©, ДЁРЕИ РЮ ЛНКНДЁ.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
63,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ОЁДРПХЛЙХ ДЕПФЮБМН© ОНКЁРХЙХ С ЯТЕПЁ ЙЮГМЮВЕИЯЭЙНЦН НАЯКСЦНБСБЮММЪ АЧДФЕРМХУ ЙНЬРЁБ С ЛЁЯРЁ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЛС МЮ 2017-2018 ПНЙХ., гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
64,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 93 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 13 ФНБРМЪ 2015 ПНЙС ╧═2/93 ╚оПН ГЮРБЕПДФЕММЪ йНЛОКЕЙЯМН© ОПНЦПЮЛХ ЯОЁКЭМХУ ДЁИ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН лб═слбя сЙПЮ©МХ Б уЛЕКЭМХЖЭЙЁИ НАКЮЯРЁ РЮ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ ЫНДН ОПНТЁКЮЙРХЙХ ОПЮБНОНПСЬЕМЭ РЮ АНПНРЭАХ ГЁ ГКНВХММЁЯРЧ МЮ РЕПХРНПЁ© Л.═йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙХИ МЮ 2016-2020 ПНЙХ╩., гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
65,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 1, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ опхимърн
66,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 2, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб,п╡ьеммъ опхимърн
67,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 3, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
68,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 4, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
69,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 5, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
70,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 6, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
71,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 7, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
72,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 8, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
73,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 9, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
74,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 10, ме цнкнясбюб, опнрх, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, опнрх, ме цнкнясбюб, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
75,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 11, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
