id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Яриновський Юрій Леонідович,result
52,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна, 28""а"" Палійчук В.І.", НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
53,"Блок питань:  7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань:  7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань:  7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань:  7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань:  7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
54,"Блок питань: 7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань: 7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань: 7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань: 7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.Блок питань: 7-9
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 119) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (біля будинку № 156) КП “Міськтепловоденергія”.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка (біля будинку № 17) КП “Міськтепловоденергія”.", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
55,Розглянути додаткові питання  10-12, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
56,Блок питань: Додаткові питання   10-12, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
57,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Коркушку О.Н.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Гудз Т.Д.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Коркушку О.Н.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Гудз Т.Д.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Коркушку О.Н.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Гудз Т.Д.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Коркушку О.Н.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Гудз Т.Д.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Коркушку О.Н.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Південна Гудз Т.Д.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
58,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гунська, 16/2 Кацай С.В.", НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
59,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Бастіонний (стара назва – провулок Колгоспний), 3/6 Білоус І.М.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
60,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний Йолтуховському Р.В., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
61,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна (біля будинку № 1) Федоренку А.П., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
62,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Кушніру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Стецькову В.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля стадіону ЗОШ № 7) Костиненку Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Прокоф'єву Ю.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Мазуру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лелюшенка Чорненькому І.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Когуту В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Сергія Бондарчука Остафійчуку М.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Кушніру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Стецькову В.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля стадіону ЗОШ № 7) Костиненку Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Прокоф'єву Ю.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Мазуру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лелюшенка Чорненькому І.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Когуту В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Сергія Бондарчука Остафійчуку М.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Кушніру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Стецькову В.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля стадіону ЗОШ № 7) Костиненку Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Прокоф'єву Ю.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Мазуру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лелюшенка Чорненькому І.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Когуту В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Сергія Бондарчука Остафійчуку М.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Кушніру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Стецькову В.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля стадіону ЗОШ № 7) Костиненку Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Прокоф'єву Ю.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Мазуру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лелюшенка Чорненькому І.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Когуту В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Сергія Бондарчука Остафійчуку М.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Кушніру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Стецькову В.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля стадіону ЗОШ № 7) Костиненку Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Прокоф'єву Ю.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тонкочеєва Мазуру С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лелюшенка Чорненькому І.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Григорія Сковороди Когуту В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Сергія Бондарчука Остафійчуку М.М.", НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
63,"Блок питань: 27-29
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 23 Матвійчуку Б.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 138 Швецю В.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 195 Швець О.Д.Блок питань: 27-29
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 23 Матвійчуку Б.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 138 Швецю В.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 195 Швець О.Д.Блок питань: 27-29
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 23 Матвійчуку Б.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 138 Швецю В.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 195 Швець О.Д.Блок питань: 27-29
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 23 Матвійчуку Б.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 138 Швецю В.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 195 Швець О.Д.Блок питань: 27-29
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 23 Матвійчуку Б.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 138 Швецю В.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 2А, ГБК № 7, бокс 195 Швець О.Д.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
64,"Блок питань: 30-31
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 7""б"", ГБК № 10, гараж 118 Загурі А.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (в дворі будинку № 127) Кацапіній Н.М.Блок питань: 30-31
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 7""б"", ГБК № 10, гараж 118 Загурі А.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (в дворі будинку № 127) Кацапіній Н.М.Блок питань: 30-31
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 7""б"", ГБК № 10, гараж 118 Загурі А.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (в дворі будинку № 127) Кацапіній Н.М.Блок питань: 30-31
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 7""б"", ГБК № 10, гараж 118 Загурі А.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (в дворі будинку № 127) Кацапіній Н.М.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
65,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (навпроти будинку № 35) Біньковській О.В., ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
