id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
31,оПН ГЛЁМС РХОС Ё МЮГБХ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН МЮБВЮКЭМН-БХУНБМНЦН ЙНЛОКЕЙЯС ╧═ 8 Б ЯЙКЮДЁ ЦЁЛМЮГЁ© РЮ ГЮЦЮКЭМННЯБЁРМЭН© ЬЙНКХ ╡-╡╡╡ ЯРСОЕМЁБ Г СЙПЮ©МЯЭЙНЧ РЮ ПНЯЁИЯЭЙНЧ ЛНБЮЛХ МЮБВЮММЪ уЛЕКЭМХЖЭЙН© НАКЮЯРЁ., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
32,оПН ГЮРБЕПДФЕММЪ яРЮРСРС йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ГЮЦЮКЭМННЯБЁРМЭН© ЬЙНКХ ╧ 8  ╡-╡╡╡ ЯРСОЕМЁБ Б МНБЁИ ПЕДЮЙЖЁ©., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
33,оПН ЙПХРЕПЁ© НАНБ▓ЪГЙНБНЯРЁ СРБНПЕММЪ МЮЦКЪДНБН© ПЮДХ Б ЙНЛСМЮКЭМХУ СМЁРЮПМХУ ОЁДОПХ╨ЛЯРБЮУ., гю, гю, б╡дясрм╡и, српхлюбяъ, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
34,оПН ЙПХРЕПЁ© НАНБ▓ЪГЙНБНЯРЁ СРБНПЕММЪ МЮЦКЪДНБН© ПЮДХ Б ЙНЛСМЮКЭМХУ СМЁРЮПМХУ ОЁДОПХ╨ЛЯРБЮУ. ОПЮБЙЮ, ме цнкнясбюб, гю, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ ме опхимърн
35,оПН ЙПХРЕПЁ© НАНБ▓ЪГЙНБНЯРЁ СРБНПЕММЪ МЮЦКЪДНБН© ПЮДХ Б ЙНЛСМЮКЭМХУ СМЁРЮПМХУ ОЁДОПХ╨ЛЯРБЮУ., српхлюбяъ, гю, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
36,"оПН ГЮРБЕПДФЕММЪ оНПЪДЙС ОПХГМЮВЕММЪ ВКЕМЁБ, СРБНПЕММЪ РЮ КЁЙБЁДЮЖЁ© МЮЦКЪДНБН© ПЮДХ ЙНЛСМЮКЭМНЦН СМЁРЮПМНЦН ОЁДОПХ╨ЛЯРБЮ.", српхлюбяъ, гю, б╡дясрм╡и, српхлюбяъ, б╡дясрм╡и, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, б╡дясрм╡и, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
37,"оПН БХГМЮВЕММЪ ЙНКЮ ОХРЮМЭ, ЫН МЮКЕФЮРЭ ДН БХЙКЧВМН© ЙНЛОЕРЕМЖЁ© МЮЦКЪДНБН© ПЮДХ ЙНЛСМЮКЭМНЦН СМЁРЮПМНЦН ОЁДОПХ╨ЛЯРБЮ.", српхлюбяъ, гю, б╡дясрм╡и, српхлюбяъ, б╡дясрм╡и, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, б╡дясрм╡и, гю, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
38,оПН БЯРЮМНБКЕММЪ БХЛНЦ ДН МЕГЮКЕФМХУ ВКЕМЁБ МЮЦКЪДНБХУ ПЮД ЙНЛСМЮКЭМХУ ОЁДОПХ╨ЛЯРБ., српхлюбяъ, гю, б╡дясрм╡и, српхлюбяъ, б╡дясрм╡и, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, б╡дясрм╡и, гю, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
39,оПН БЯРЮМНБКЕММЪ БХЛНЦ ДН МЕГЮКЕФМХУ ВКЕМЁБ МЮЦКЪДНБХУ ПЮД ЙНЛСМЮКЭМХУ ОЁДОПХ╨ЛЯРБ., гю, гю, б╡дясрм╡и, гю, б╡дясрм╡и, гю, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю,п╡ьеммъ опхимърн
40,оПН ЮЙПЕДХРЮЖЁЧ ФСПМЮКЁЯРЁБ ОПХ йЮЛ`ЪМЕЖЭ-оНДЁКЭЯЭЙЁИ ЛЁЯЭЙЁИ ПЮДЁ VII cЙКХЙЮММЪ., гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
41,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 29 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 26.06.2012 ПНЙС ╧ 13 ╚оПН ГЮРБЕПДФЕММЪ йНМЖЕОЖЁ© ПНГЛЁЫЕММЪ РХЛВЮЯНБХУ ЯОНПСД ДКЪ ОПНБЮДФЕММЪ ОЁДОПХ╨ЛМХЖЭЙН© ДЁЪКЭМНЯРЁ МЮ РЕПХРНПЁ© ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
42,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 34 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 06.11.2012 ПНЙС ╧ 10 ╚оПН ГЮРБЕПДФЕММЪ ОНПЪДЙС ПНГЛЁЫЕММЪ НА▓╨ЙРЁБ ГНБМЁЬМЭН© ПЕЙКЮЛХ С Л. йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС╩., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
43,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 55═ ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 21.01.2014 ПНЙС ╧ 5 ╚оПН ГЮРБЕПДФЕММЪ оПЮБХК АКЮЦНСЯРПНЧ РЕПХРНПЁ© ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
44,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
45,оПН МЮИЛЕМСБЮММЪ МНБН© БСКХЖЁ ЛЁЯРЮ.   ГМЪРХ, гю, српхлюбяъ, б╡дясрм╡и, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
46,"оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚бЁДЬЙНДСБЮММЪ ПЁГМХЖЁ ЛЁФ ПНГЛЁПНЛ ЖЁМХ (РЮПХТС) МЮ ОНЯКСЦХ ЙНЛСМЮКЭМХУ ОЁДОПХ╨ЛЯРБ ЛЁЯРЮ, ЫН ГЮРБЕПДФСБЮКХЯЪ ЮАН ОНЦНДФСБЮКХЯЪ ПЁЬЕММЪЛ НПЦЮМС ЛЁЯЖЕБНЦН ЯЮЛНБПЪДСБЮММЪ, РЮ ПНГЛЁПНЛ ТЮЙРХВМХУ БХРПЮР МЮ ©У БХПНАМХЖРБН╩ Б МНБЁИ ПЕДЮЙЖЁ©.", гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
47,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 88═ (ОНГЮВЕПЦНБН©) ЯЕЯЁ© VI ЯЙКХЙЮММЪ БЁД═ 14.07.2015  ╧═ 1/88 ╚оПН БМЕЯЕММЪ ГЛЁМ ДН ЯРПСЙРСПХ БХЙНМЮБВХУ НПЦЮМЁБ ЛЁЯЭЙН© ПЮДХ╩., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
48,оПН СОНПЪДЙСБЮММЪ ОХРЮМЭ ЫНДН БЯРЮМНБКЕММЪ АСДХМЙНБХУ (ГЮЦЮКЭМНАСДХМЙНБХУ) БСГКЁБ НАКЁЙС ОПХПНДМНЦН ЦЮГС., гю, гю, б╡дясрм╡и, гю, гю, гю, б╡дясрм╡и, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
49,"оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 24 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2016 ╧═ 3/24 ╚оПН ЛЁЯЭЙХИ АЧДФЕР МЮ 2017 ПЁЙ╩ РЮ ДНДЮРЙЁБ ДН МЭНЦН, Г БПЮУСБЮММЪЛ ГЛЁМ РЮ ДНОНБМЕМЭ, БМЕЯЕМХУ ПЁЬЕММЪЛ 25 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 31.01.2017 ╧ 12/25, ПЁЬЕММЪЛ 26═ (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.02.2017 ╧═ 5/26, ПЁЬЕММЪЛ 29═ (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 15.03.2017 ╧═ 1/29, ПЁЬЕММЪЛ 30 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 28.03.2017 ╧ 101/30, ПЁЬЕММЪЛ 31 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 07.04.2017 ╧ 2/31.", гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
50,"оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 24 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2016 ╧═ 3/24 ╚оПН ЛЁЯЭЙХИ АЧДФЕР МЮ 2017 ПЁЙ╩ РЮ ДНДЮРЙЁБ ДН МЭНЦН, Г БПЮУСБЮММЪЛ ГЛЁМ РЮ ДНОНБМЕМЭ, БМЕЯЕМХУ ПЁЬЕММЪЛ 25 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 31.01.2017 ╧ 12/25, ПЁЬЕММЪЛ 26═ (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.02.2017 ╧═ 5/26, ПЁЬЕММЪЛ 29═ (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 15.03.2017 ╧═ 1/29, ПЁЬЕММЪЛ 30 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 28.03.2017 ╧ 101/30, ПЁЬЕММЪЛ 31 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 07.04.2017 ╧ 2/31.", гю, српхлюбяъ, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
51,оПН БМЕЯЕММЪ ГЛЁМ ДН оПНЦПЮЛХ ╚мЮДЮММЪ ЦПНЛЮДЪМЮЛ ЛЁЯРЮ АЕГНОКЮРМН© ЯРНЛЮРНКНЦЁВМН© ДНОНЛНЦХ МЮ 2016-2017 ПНЙХ╩., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
52,оПН ГБЕПМЕММЪ ДН оПЕЛ▓╨П-ЛЁМЁЯРПЮ сЙПЮ©МХ ЫНДН БМЕЯЕММЪ ГЛЁМ ДН оНЯРЮМНБХ йЮАЁМЕРС лЁМЁЯРПЁБ сЙПЮ©МХ ╧ 223 БЁД 05.04.2017, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
53,оПН ГБЕПМЕММЪ ДН оПЕЛ▓╨П-ЛЁМЁЯРПЮ сЙПЮ©МХ ЫНДН БМЕЯЕММЪ ГЛЁМ ДН оНЯРЮМНБХ йЮАЁМЕРС лЁМЁЯРПЁБ сЙПЮ©МХ ╧ 223 БЁД 05.04.2017 МЮДЮММЪ ЯКНБЮ, гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю,п╡ьеммъ опхимърн
54,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, гю, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, опнрх, ме цнкнясбюб, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю,п╡ьеммъ ме опхимърн
55,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, опнрх, б╡дясрм╡и, опнрх, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, српхлюбяъ, ме цнкнясбюб, опнрх, ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, опнрх, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, опнрх,п╡ьеммъ ме опхимърн
56,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, б╡дясрм╡и, гю, ме цнкнясбюб, гю, српхлюбяъ, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
57,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
58,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю,п╡ьеммъ опхимърн
59,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю,п╡ьеммъ опхимърн
60,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю, ме цнкнясбюб, гю, б╡дясрм╡и, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
61,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, б╡дясрм╡и, гю, гю, гю, гю, б╡дясрм╡и, српхлюбяъ, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
62,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю, ме цнкнясбюб, гю, б╡дясрм╡и, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
63,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, гю, б╡дясрм╡и, српхлюбяъ, гю, ме цнкнясбюб, гю, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
64,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, опнрх, б╡дясрм╡и, српхлюбяъ, гю, ме цнкнясбюб, гю, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, опнрх, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, опнрх,п╡ьеммъ ме опхимърн
65,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, б╡дясрм╡и, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, б╡дясрм╡и, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
66,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю, ме цнкнясбюб, гю, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, б╡дясрм╡и, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
