id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Костинюк Володимир Володимирович, Мазій Олена Миколаївна, Микуляк Іван Михайлович, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Ткачук Олександр Анатолійович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
44,"Земельні питання.   пропозиція Кобильника зняти з розу проекти земельних питань16, 124-134", НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
45,Земельні питання.   № 15   «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Савчуку Р.Г.», УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
46,Земельні питання.  № 18 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна Онуфрієвій  Л.О.», ЗА, ПРОТИ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
47,Земельні питання.   № 19 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Данила Галицького (біля будинку № 16а) Охоті  Н.І.», ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
48,"Земельні питання.   № 20 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кулика, 5 Бабійчуку  В.І.»", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
49,"Земельні питання.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Федорову О.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Кульчицькому О.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Пташнику М.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Скрипнику О.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Дідуху О.В.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
50,Земельні питання.   № 26 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні (в дворі будинку № 44) Гераськіну В.М., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
51,"Земельні питання.   № 27 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова, 8, гараж 29 Пташкіній Є.В.»", ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
52,"Земельні питання.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 18) Олійнику  В.Є.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 18) Фуркевичу Б.О.", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
53,"Земельні питання.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна Онуфрієву  Л.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна Онуфрієвій  Р.О.", ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
54,Земельні питання.   № 32 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (біля будинку № 21) Ревуцькому В.М.», УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
55,Земельні питання.   № 33 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Укмергеська (в дворі будинку № 18) Гоголю  В.І.», УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
56,"Земельні питання.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе (в дворі будинку № 13) Васільцову В.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова Крайніку  О.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова Везнюку  Ю.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Годованця, 23 Репінецькому А.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (біля будинку № 40) Стецькову В.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вокзальна, 77в Власюку О.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Патріарха Мстислава (в дворі будинку № 9) Пермякову М.Д.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка (біля будинку № 59) Левінець І.Ю.", ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
57,Земельні питання.   № 42 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Панівецька (в дворі будинку № 13а) Тупіковій  Л.М.», ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
58,"Земельні питання.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Каліська (в дворі будинку № 10) Паравійчук  І.Л.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Каліська (в дворі будинку № 8) Довгань І.А.", ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
59,"Земельні питання.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 1 Чорному А.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 7 Політанській  Н.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 6 Корнику С.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка (в дворі будинку № 9), гараж № 8 Корник Л.Є.", ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
60,"Земельні питання.   № 49 «Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Драгоманова, 10 Богун С.К.»", ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
61,"Земельні питання.   № 50 «Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Першотравнева, 7""а""/12 ФОП Трачуку М.Ф. та Трачук А.М.»", ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
62,"Земельні питання.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського (біля заводу ""Едпол"") Кам’янець-Подільській міській раді.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) площею за адресою вулиця Зарванська, 13 НІАЗ ""Кам'янець"".
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) площею за адресою вулиця Зарванська, 10а Монастирю Святої Трійці Провінції Отців Василіян Найсвятішого Спасителя в Україні.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) площею 0,3221 га. за адресою вулиця Князів Коріатовичів, 25 ЖБК „Нова будова „Глорія”.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Привокзальна, 6 Павленку І.О.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Крип'якевича, 3 Стоколосу В.С.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) площею 0,2222 га. за адресою вулиця Крип'якевича, 3 Стоколосу В.С.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Крип'якевича, 3 Терлецькій М.С.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
63,"Земельні питання.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Князя Володимира, 20а Пашко Н.П.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Князя Володимира, 20 Чухрію О.В.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 69 Язвінській Т.Л.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Папаніна, 69""б"" Язвінському С.О.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 21 Люльку В.Г. та Дашкіній Н.М.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
64,"Земельні питання.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Маршала Харченка, 24/1 Мукосію О.О. та Мукосій В.М.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Маршала Харченка, 24/1б Мукосій Ю.О.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою проспект Грушевського, 1/20 Ярославському Ю.М.", ПРОТИ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
65,"Земельні питання.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Хмельницьке шосе, 17а, гараж 43 Мірко М.П.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою ГБК № 6, гараж 63 Ониськів М.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 та передачу її в оренду Чубенко С.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 6а для зміни її цільового призначення.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
66,"Земельні питання.  № 71 « Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 25 для зміни її цільового призначення.»", ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
67,"Земельні питання.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 31 для зміни її цільового призначення.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 31, яка перебуває у власності Крупельницької Н.М., для зміни її цільового призначення.", ПРОТИ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
68,"Земельні питання.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 25 та передачу її у власність Петрову Е.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Анатолія Корнєєва, 3 та передачу її у власність Шевцову К.О.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Анатолія Корнєєва та передачу її у власність Площуку А.Б.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна та передачу її у власність Кучеру Д.П.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою ГБК №  2, гараж 197 та передачу її у власність Худзінській Г.О.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
69,Земельні питання: № 79 Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вокзальна та передачу її у власність Манчуку В.В., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
70," Земельні питання
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова (в дворі будинку № 45) та передачу її у власність Репінецькому В.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Суворова, 2б та передачу її у власність Ткачук С.М.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
71," Земельні питання
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 3 та передачу її у власність Бойку В.В.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 3 та передачу її у власність Ліпковському В.В.", ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
