id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Пливанюк Юрій Васильович, Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович, Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович, Цвігун Борис Ярославович,Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
42,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний (біля будинку № 1а) Василевицькому А.Ю.",ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
43,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Степовий Зарицькому О.О.",УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
44,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка (між провулками Степовий та Крайній) Кричковському Д.А.",УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
45,"Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 47 Чіківчуку В.Д.",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
46,Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе Павленку І.І.,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
47,Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Козачий (біля будинковолодіння № 20) Павленко А.І.,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
48,"Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця 30 років Перемоги, будинок 14”а”, гараж 4 Чешневській Н.П.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
49,"Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Смірнова, 8, гараж 1 Нестеруку І.П.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ПРОТИ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
50,"Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні, 44 Задорожній О.І.",ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ПРОТИ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
51,"Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою гаражний кооператив № 4, гараж 17 Чорнобай І.В.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
52,"Земельні питання Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри, 3 Качуровській О.Ф.",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
53,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри, 30а/6 Онятицькому І.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри,  30а/6 Онятицькому І.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри,  30а/8 Панасюк Н.І.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
54,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 46 Турняк Г.В.",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
55,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Худієву Е.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Шевчуку В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Бойку А.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Каліновичу Ю.Є.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Ковальчуку А.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Кучеру Д.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Сташкевичу В.Т.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Михайловському В.К.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Сторожук Ю.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Кравцю Д.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Братенку І.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Беху С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Маршала Харченка Савченку Ю.О.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
56,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська Семенишину М.О.",ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
57,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Драгоманова (в дворі будинку № 16) Панасюку  М.М.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
58,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Симона Петлюри (в дворі будинку № 34) Головатюку В.П.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
59,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського (в дворі будинку № 56) Марищаку І.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського (в дворі будинку № 56) Назаруку І.І.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
60,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні (біля будинку № 6) Кучеренку С.В.
",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,ПРОТИ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
61,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів (навпроти будинку № 16) Швецю С.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів (навпроти будинку № 16) Квасневському Г.А.",ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ПРОТИ,ЗА,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
62,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Привокзальна, 17А Варді В.А.
",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
63,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова, 4 Оганесяну  М.Т.
",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
64,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 91а) Козловській Г.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки (в дворі будинку № 91а) Кіценькій М.П.
",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
65,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука Литваку С.В.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
66,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Миколи Гордійчука (навпроти будинку № 3) Петасюку Д.О.
",ЗА,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
67,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Данила Галицького,  22 Гойсі К.А.",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
68,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Черняхівського, 58а Кравцову О.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Черняхівського, 58а Кравцовій І.Л.",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
69,"Земельні питання 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів Лопушанському В.В.
",ЗА,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
