id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Полатайко Олександр Миколайович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
37,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 №  3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26  (позачергової) сесії міської ради від 14.02.2017 №  5/26, рішенням 29  (позачергової) сесії міської ради від 15.03.2017 №  1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 №  4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
38,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 №  3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26  (позачергової) сесії міської ради від 14.02.2017 №  5/26, рішенням 29  (позачергової) сесії міської ради від 15.03.2017 №  1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 №  4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
39,"Про звернення до Верховної Ради України щодо надання пільг сім’ям загиблих та померлих від поранень учасників АТО прирівняних до пільг, які отримують учасники АТО.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
40,"Про звернення до Верховної Ради України щодо надання пільг сім’ям загиблих та померлих від поранень учасників АТО прирівняних до пільг, які отримують учасники АТО.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
41,"Про звернення до Верховної Ради України щодо надання пільг сім’ям загиблих та померлих від поранень учасників АТО прирівняних до пільг, які отримують учасники АТО.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
42,"Про звернення до Верховної Ради України щодо надання пільг сім’ям загиблих та померлих від поранень учасників АТО прирівняних до пільг, які отримують учасники АТО.", ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
43,"Про звернення до Верховної Ради України щодо надання пільг сім’ям загиблих та померлих від поранень учасників АТО прирівняних до пільг, які отримують учасники АТО.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
44,"Про звернення до Верховної Ради України щодо надання пільг сім’ям загиблих та померлих від поранень учасників АТО прирівняних до пільг, які отримують учасники АТО.", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
45,"Про звернення до Верховної Ради України щодо надання пільг сім’ям загиблих та померлих від поранень учасників АТО прирівняних до пільг, які отримують учасники АТО.", ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
46,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки на умовах оренди за адресою вулиця Ценського, 1 Парижану К.В., Ющишину А.А., Олійнику В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 Смицькій Л.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 25 Осіпчуку М.М., Богатиру І.Я.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки площею 0,0020 га. за адресою проспект Грушевського, 23 Решетюк Т.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 Решетюк Т.П ", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
47,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка, 28 ОСББ ""Огієнко-28", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
48,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки площею 0,1400 га. за адресою вулиця Вокзальна, 21 Боршуляку О.М.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
49,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ватутіна, 3 Кузику В.С. та Кузик Н.К.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
50,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""в"" Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""г"" Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""д"" Кам’янець-Подільській міській раді", ЗА, ПРОТИ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
51,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""в"" Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""г"" Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""д"" Кам’янець-Подільській міській раді ", ЗА, ПРОТИ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
52,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""в"" Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""г"" Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""д"" Кам’янець-Подільській міській раді", ЗА, ПРОТИ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
53,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Герцена, 4а Саранчуку М.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Слєпньова, 9 Буряк В.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Каньйонний, 16 Радіонову О.М.", ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
54,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна, 35 Балабух С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна, 35а Яцуляку М.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Жванецьке шосе, 58 Пакіж С.А., Люлявській Н.Є.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Жванецьке шосе, 58б Маринюк Л.І. ", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
55,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Колгоспний, 3/6 Білоус І.М.", УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
56,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 65 Кучеруку В.В.", УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
57,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 65 Кучеруку В.В.", ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
58,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе Роздобутьку О.В., УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
59,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Устима Кармалюка Савчуку Р.Г., ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
60,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Руслана Коношенка Коношенко Л.А., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
61,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 7""б"", ГБК № 10, гараж № 45 Шерстюку М.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 22, гараж 15 Маруняк Г.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна, 108 Єгоровій А.П. ", НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
62,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка, 49 Мостовій Г.І.", НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
