id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Костюкович Дмитро Карлович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
44,"Про продаж земельної ділянки несільськогосподарського призначення за адресою вулиця Героїв Небесної Сотні, 34""а"" Андруховичу А.М.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
45,Про скасування рішення виконавчого комітету Кам’янець-Подільської міської ради № 1143 від 16.11.2017 р. «Про погодження паспорта прив’язки підприємцю Фуркевичу Богдану Олеговичу та надання дозволу на встановлення тимчасової споруди для провадження підприємницької діяльності з північно-західної сторони перехрестя вул. Гунської та Огієнка»., ПРОТИ, ЗА, УТРИМАВСЯ, ПРОТИ,ВІДСУТНІЙ, ПРОТИ,ВІДСУТНІЙ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
46,Про скасування рішення виконавчого комітету Кам’янець-Подільської міської ради № 1143 від 16.11.2017 р. «Про погодження паспорта прив’язки підприємцю Фуркевичу Богдану Олеговичу та надання дозволу на встановлення тимчасової споруди для провадження підприємницької діяльності з північно-західної сторони перехрестя вул. Гунської та Огієнка»., ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
47,"Про звернення до Президента України, Голови Верховної Ради України та Прем'єр-міністра України щодо недопущення скасування мораторію на продаж земель сільськогосподарського призначення", УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
48,Тимчасові комісії, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
49,Тимчасові комісії, ЗА, УТРИМАВСЯ, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
50,Тимчасові комісії, УТРИМАВСЯ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
51,Тимчасові комісії, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
52,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Соборна, 3 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 27б Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 24 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні, 40 Кам’янець-Подільській міській раді Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Соборна, 3 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 27б Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 24 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні, 40 Кам’янець-Подільській міській раді Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Соборна, 3 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 27б Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 24 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні, 40 Кам’янець-Подільській міській раді Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Соборна, 3 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 27б Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 24 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні, 40 Кам’янець-Подільській міській раді Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Соборна, 3 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 27б Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 24 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні, 40 Кам’янець-Подільській міській раді Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Соборна, 3 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 27б Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Шевченка, 24 Кам’янець-Подільській міській раді
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Небесної Сотні, 40 Кам’янець-Подільській міській раді ", ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
53,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Огієнка Кам’янець-Подільській міській раді, ЗА, ПРОТИ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
54,"Про надання дозволу на розроблення проектів землеустрою щодо відведення земельних ділянок, права на які будуть виставлені на земельні торги", ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
55,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 Ніверському С.П., Ніверському І.С.", ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
56,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Голосківське шосе, 1 Дочірньому підприємству ""Хмельницький облавтодор"" Відкритого акціонерного товариства ""Державна акціонерна компанія ""Автомобільні дороги України", УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, УТРИМАВСЯ, ПРОТИ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
57,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 2а Кам'янець-Подільській автомобільній школі Товариства сприяння оборони України", ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
58,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 25/6 ТзОВ ""Поділля-Трансбуд", УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
59,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князів Коріатовичів, 25/6 ТзОВ ""Поділля-Трансбуд", ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
60,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе, 32 ТзОВ ""Спортивний клуб ""Зірве-Україна", УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
61,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Лагерний, 7 Нагнибіді В.О", ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
62,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нагірна, 31""а"" Ружицькій Л.М., Белінській С.Н.", ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
63,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Лесі Українки, 65 Погоржельській М.М.", УТРИМАВСЯ, ЗА,ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
64,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна (навпроти школи) Гончаренку О.В., УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
65,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 22 Бєлко С.І.", УТРИМАВСЯ, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
66,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Голосківське шосе, 8а, ГБК № 4, бокс № 161 Козярському О.О.", ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
67,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Габруку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ткачуку С.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Чорнокозинецькій С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Лисому О.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Зарічні Л.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Мельнику В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Слободяну О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Кравчуку А.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ясінському Г.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Габруку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ткачуку С.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Чорнокозинецькій С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Лисому О.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Зарічні Л.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Мельнику В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Слободяну О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Кравчуку А.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ясінському Г.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Габруку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ткачуку С.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Чорнокозинецькій С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Лисому О.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Зарічні Л.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Мельнику В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Слободяну О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Кравчуку А.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ясінському Г.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Габруку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ткачуку С.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Чорнокозинецькій С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Лисому О.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Зарічні Л.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Мельнику В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Слободяну О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Кравчуку А.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ясінському Г.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Габруку В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ткачуку С.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Чорнокозинецькій С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Лисому О.Г.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Зарічні Л.П.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Мельнику В.М.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Слободяну О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Кравчуку А.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Центральна, 5а Ясінському Г.М.", ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
